MediaID,GenreID
399579,28
399579,878
399579,12
65676,16
65676,35
65676,18
204589,10765
204589,18
705996,80
705996,18
705996,9648
705996,10749
705996,53
2288,10759
2288,80
2288,18
965150,18
72505,10759
72505,16
72505,35
72505,10765
63926,10759
63926,16
63926,35
718789,16
718789,28
718789,12
718789,10751
718789,878
1408,18
1408,9648
335983,878
335983,28
68718,18
68718,37
85271,10765
85271,9648
85271,18
122917,28
122917,12
122917,14
214999,18
214999,35
65942,16
65942,35
65942,18
65942,10759
65942,10765
765,27
765,35
765,14
205366,16
205366,35
205366,9648
205366,10765
4234,27
4234,9648
676710,16
676710,12
676710,35
676710,10751
676710,14
679,28
679,53
679,878
420818,12
420818,18
420818,10751
420818,16
28,18
28,10752
102382,28
102382,12
102382,14
85720,18
85720,10765
297762,28
297762,12
297762,14
1622,18
1622,9648
1622,10765
869626,16
869626,35
869626,10751
869626,18
869626,12
568160,16
568160,18
568160,14
568160,10749
62286,10759
62286,18
417859,35
417859,14
417859,16
417859,10749
417859,12
417859,10751
139280,18
550988,35
550988,12
550988,878
224490,18
49051,12
49051,14
49051,28
335988,28
335988,12
335988,878
242,80
242,18
242,53
150540,16
150540,10751
150540,12
150540,18
150540,35
1271,28
1271,12
1271,10752
58,12
58,14
58,28
346364,27
346364,14
609681,28
609681,12
609681,878
546554,35
546554,80
546554,9648
38757,16
38757,10751
104711,16
104711,35
104711,10759
104711,10765
877269,16
877269,10751
877269,12
877269,878
760104,27
760104,9648
760104,53
568124,16
568124,35
568124,10751
568124,14
820067,16
820067,35
820067,10749
954,12
954,28
954,53
87108,18
112693,80
112693,18
13804,28
13804,80
13804,18
13804,53
877703,28
877703,14
877703,10770
901563,18
44006,18
240,18
240,80
301528,10751
301528,12
301528,16
301528,35
301528,14
63333,10759
63333,18
63333,10768
580489,878
580489,28
580489,12
424783,28
424783,12
424783,878
844417,9648
844417,53
844417,80
24,28
24,80
425,16
425,35
425,10751
425,12
353081,28
353081,12
562,28
562,53
58841,80
58841,18
65844,10759
65844,16
65844,35
65844,10765
165,12
165,35
